Countyname,does,buttons,lessthan4,morethan4,totaldeer,
Appling,494,37,113,259,903,
Atkinson,214,16,76,160,466,
Bacon,253,12,64,150,479,
Baker,613,24,66,272,975,
Baldwin,577,50,189,358,1174,
Banks,533,65,308,351,1257,
Barrow,255,34,124,230,643,
Bartow,887,92,311,689,1979,
Ben Hill,343,22,83,228,676,
Berrien,518,45,150,333,1046,
Bibb,241,18,75,127,461,
Bleckley,311,23,88,192,614,
Brantley,180,24,53,95,352,
Brooks,457,19,88,314,878,
Bryan,311,29,103,146,589,
Bulloch,751,71,172,376,1370,
Burke,2069,195,433,1061,3758,
Butts,283,37,109,231,660,
Calhoun,495,30,104,261,890,
Camden,244,24,51,105,424,
Candler,517,26,79,252,874,
Carroll,774,110,388,474,1746,
Catoosa,239,29,127,181,576,
Charlton,142,13,45,128,328,
Chatham,121,10,36,55,222,
Chattahoochee,496,50,49,339,934,
Chattooga,569,70,237,361,1237,
Cherokee,824,66,361,654,1905,
Clarke,275,20,68,174,537,
Clay,533,29,95,294,951,
Clayton,83,4,14,42,143,
Clinch,286,16,100,163,565,
Cobb,195,15,48,168,426,
Coffee,570,45,142,410,1167,
Colquitt,562,69,159,456,1246,
Columbia,777,83,275,401,1536,
Cook,271,19,75,161,526,
Coweta,812,93,307,584,1796,
Crawford,798,60,182,444,1484,
Crisp,279,34,56,236,605,
Dade,492,25,156,279,952,
Dawson,197,22,150,226,595,
Decatur,697,36,184,500,1417,
DeKalb,90,7,12,98,207,
Dodge,932,67,158,572,1729,
Dooly,515,33,15,364,927,
Dougherty,258,14,77,166,515,
Douglas,348,46,147,211,752,
Early,657,40,120,507,1324,
Echols,182,8,65,96,351,
Effingham,575,54,172,221,1022,
Elbert,1146,119,346,581,2192,
Emanuel,948,87,220,524,1779,
Evans,243,24,44,130,441,
Fannin,291,29,306,357,983,
Fayette,290,42,92,184,608,
Floyd,1117,103,403,872,2495,
Forsyth,534,45,189,325,1093,
Franklin,645,60,284,414,1403,
Fulton,702,74,148,468,1392,
Gilmer,251,20,221,296,788,
Glascock,319,29,112,160,620,
Glynn,196,14,52,84,346,
Gordon,988,88,355,590,2021,
Grady,401,30,129,266,826,
Greene,1114,131,345,617,2207,
Gwinnett,347,41,111,310,809,
Habersham,242,37,316,262,857,
Hall,1041,99,464,698,2302,
Hancock,2026,213,40,1136,3415,
Haralson,443,52,272,282,1049,
Harris,913,79,17,740,1749,
Hart,654,74,240,511,1479,
Heard,593,75,269,371,1308,
Henry,375,45,146,226,792,
Houston,549,59,180,406,1194,
Irwin,619,44,126,327,1116,
Jackson,885,93,372,674,2024,
Jasper,996,101,331,609,2037,
Jeff Davis,437,31,104,224,796,
Jefferson,1033,99,330,581,2043,
Jenkins,596,57,126,279,1058,
Johnson,449,38,118,264,869,
Jones,784,92,206,555,1637,
Lamar,383,51,146,238,818,
Lanier,179,12,38,88,317,
Laurens,1625,136,382,855,2998,
Lee,730,45,146,513,1434,
Liberty,270,19,66,139,494,
Lincoln,662,77,201,310,1250,
Long,209,15,60,111,395,
Lowndes,542,44,145,312,1043,
Lumpkin,254,34,267,307,862,
Macon,744,44,23,395,1206,
Madison,873,107,307,618,1905,
Marion,569,58,155,383,1165,
McDuffie,582,78,217,327,1204,
McIntosh,174,18,43,60,295,
Meriwether,1469,123,21,942,2555,
Miller,246,25,68,182,521,
Mitchell,327,27,92,308,754,
Monroe,762,101,264,476,1603,
Montgomery,308,21,8,195,532,
Morgan,1018,122,219,645,2004,
Murray,360,51,272,347,1030,
Muscogee,361,34,76,191,662,
Newton,667,81,225,488,1461,
Oconee,307,30,97,258,692,
Oglethorpe,1371,156,427,766,2720,
Paulding,460,60,206,290,1016,
Peach,335,33,88,201,657,
Pickens,229,18,180,247,674,
Pierce,180,16,42,136,374,
Pike,564,59,205,346,1174,
Polk,881,78,349,465,1773,
Pulaski,308,33,74,226,641,
Putnam,993,120,285,573,1971,
Quitman,330,25,97,195,647,
Rabun,40,7,65,79,191,
Randolph,935,28,19,738,1720,
Richmond,399,19,115,265,798,
Rockdale,190,31,69,152,442,
Schley,384,26,79,258,747,
Screven,893,64,144,456,1557,
Seminole,135,12,37,94,278,
Spalding,312,38,151,208,709,
Stephens,85,13,107,134,339,
Stewart,1081,82,275,654,2092,
Sumter,832,63,180,605,1680,
Talbot,890,96,14,675,1675,
Taliaferro,566,55,188,304,1113,
Tattnall,434,40,133,304,911,
Taylor,837,91,215,553,1696,
Telfair,498,33,102,308,941,
Terrell,725,68,169,477,1439,
Thomas,584,34,129,387,1134,
Tift,246,20,61,186,513,
Toombs,447,45,99,290,881,
Towns,40,6,105,99,250,
Treutlen,275,24,72,159,530,
Troup,709,60,10,520,1299,
Turner,279,20,56,261,616,
Twiggs,723,51,206,362,1342,
Union,291,24,273,327,915,
Upson,789,81,265,540,1675,
Walker,709,83,336,435,1563,
Walton,698,79,265,544,1586,
Ware,382,31,113,245,771,
Warren,950,103,283,535,1871,
Washington,1487,116,379,834,2816,
Wayne,360,35,96,171,662,
Webster,479,32,133,293,937,
Wheeler,345,25,96,223,689,
White,216,26,235,243,720,
Whitfield,244,27,221,322,814,
Wilcox,341,36,77,277,731,
Wilkes,1536,161,463,740,2900,
Wilkinson,1003,62,291,479,1835,
Worth,808,80,147,700,1735,
